Name,DATE,Team,Home/Away,OPP,AB,R,H,2B,3B,HR,RBI,Walks,HBP,BA,OBP,SLG,OPS,SB,CS,GDP,1B,HRR,TB,Season
Ahn Hyun-min,03/28/2026,KT,,LG,2,3,1,0,1,0,0,2,2,0.5,0.833,1.5,2.333,0,0,0,0,4,3,2026
An Chi-Hong,03/28/2026,Hanwha,,Hanwha,3,2,2,2,0,0,0,3,0,0.667,0.833,1.333,2.167,0,0,0,0,4,4,2026
An Jae-seok,03/28/2026,Doosan,,NC,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2026
Austin Dean,03/28/2026,LG,,KT,5,2,3,0,0,0,0,0,0,0.6,0.6,0.6,1.2,0,0,0,3,5,3,2026
Chae Eun-seong,03/28/2026,Hanwha,,Kiwoom,4,2,2,0,0,1,1,1,0,0.5,0.6,1.25,1.85,0,0,0,1,5,5,2026
Cheon Seong-ho,03/28/2026,KT,,KT,0,0,0,0,0,0,0,1,0,0.0,1.0,0.0,1.0,0,0,0,0,0,0,2026
Choi Hyoung-woo,03/28/2026,Kia,,Lotte,3,0,1,0,0,0,0,1,0,0.333,0.5,0.333,0.833,0,0,0,1,1,1,2026
Choi Jeong,03/28/2026,SSG,,Kia,3,0,1,0,0,0,0,1,1,0.333,0.6,0.333,0.933,0,0,0,1,1,1,2026
Choi Jeong-won,03/28/2026,NC,,Doosan,2,0,0,0,0,0,0,0,1,0.0,0.333,0.0,0.333,0,0,0,0,0,0,2026
Choi Ji-Hoon,03/28/2026,SSG,,Kia,3,1,1,0,0,0,0,1,0,0.333,0.5,0.333,0.833,0,0,0,1,2,1,2026
Choi Joo-hwan,03/28/2026,Kiwoom,,Hanwha,6,0,1,0,0,0,0,0,0,0.167,0.167,0.167,0.333,0,0,2,1,1,1,2026
Choi Won-jun,03/28/2026,Kia,,LG,5,0,1,0,0,0,0,1,0,0.2,0.333,0.2,0.533,0,1,0,1,1,1,2026
Daz Cameron,03/28/2026,Doosan,,NC,2,0,1,1,0,0,0,0,0,0.5,0.5,1.0,1.5,0,0,0,0,1,2,2026
Eo Joon-seo,03/28/2026,Kiwoom,,Hanwha,5,0,0,0,0,0,0,1,0,0.0,0.167,0.0,0.167,0,0,0,0,0,0,2026
Guillermo Heredia,03/28/2026,SSG,,Kia,5,0,1,0,0,0,1,0,0,0.2,0.2,0.2,0.4,0,0,0,1,2,1,2026
Harold Castro,03/28/2026,Kia,,SSG,5,2,3,1,0,0,0,0,0,0.6,0.6,0.8,1.4,0,0,0,2,5,4,2026
Heo Kyoung-Min,03/28/2026,Doosan,,LG,5,1,3,0,0,0,1,0,0,0.6,0.6,0.6,1.2,0,0,0,3,5,3,2026
Hong Chang-ki,03/28/2026,LG,,KT,3,1,1,0,0,0,0,3,0,0.333,0.667,0.333,1.0,1,0,0,1,2,1,2026
Hwang Seong-bin,03/28/2026,Lotte,,Samsung,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2026
Im Ji-yeol,03/28/2026,Kiwoom,,Hanwha,3,1,1,0,0,0,0,1,0,0.333,0.5,0.333,0.833,0,0,0,1,2,1,2026
Jang Sung-woo,03/28/2026,KT,,LG,2,0,1,0,0,0,0,0,0,0.5,0.5,0.5,1.0,0,0,0,1,1,1,2026
Jeon Jun-woo,03/28/2026,Lotte,,Samsung,4,1,1,0,0,1,1,0,0,0.25,0.25,1.0,1.25,0,0,0,0,3,4,2026
Jung Soo-bin,03/28/2026,Doosan,,NC,3,0,0,0,0,0,0,1,0,0.0,0.25,0.0,0.25,0,0,0,0,0,0,2026
Kang Baek-ho,03/28/2026,KT,,Kiwoom,6,0,1,0,0,0,1,0,0,0.167,0.167,0.167,0.333,0,0,0,1,2,1,2026
Kang Min-ho,03/28/2026,Samsung,,Lotte,3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2026
Kang Seung-ho,03/28/2026,Doosan,,NC,4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,2026
Kang-nam Yoo,03/28/2026,Lotte,,Samsung,4,0,1,0,0,0,0,0,0,0.25,0.25,0.25,0.5,0,0,0,1,1,1,2026
Kim Do-yeong,03/28/2026,Kia,,SSG,5,2,2,0,0,0,0,0,0,0.4,0.4,0.4,0.8,0,0,0,2,4,2,2026
